Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);Resultado Primário (Cidadã);Despesa empenhada;Despesa liquidada;Despesa paga;Despesa liq&RP;Despesa empenhada a liquidar;Crédito Disponível
2024;Centro-Oeste;MT;Mato Grosso;"Institutos Federais, Cefet's e Colégio Pedro II";IFMT;Instituto Federal do Mato Grosso;Emenda de Bancada;17451052,90;5943313,40;4485644,14;18507130,54;11507739,50;6204994,10
2024;Centro-Oeste;MT;Mato Grosso;"Institutos Federais, Cefet's e Colégio Pedro II";IFMT;Instituto Federal do Mato Grosso;Emenda Individual;;;;784011,25;;
2024;Centro-Oeste;MT;Mato Grosso;"Institutos Federais, Cefet's e Colégio Pedro II";IFMT;Instituto Federal do Mato Grosso;Financeiro;62115985,00;28569700,42;28569700,42;28569700,42;33546284,58;
2024;Centro-Oeste;MT;Mato Grosso;"Institutos Federais, Cefet's e Colégio Pedro II";IFMT;Instituto Federal do Mato Grosso;Obrigatório;412743491,95;209519763,96;199890425,19;210107226,07;203223727,99;31663185,05
2024;Centro-Oeste;MT;Mato Grosso;"Institutos Federais, Cefet's e Colégio Pedro II";IFMT;Instituto Federal do Mato Grosso;Recurso do PAC;8181254,89;197283,45;178657,57;197283,45;7983971,44;
2024;Nordeste;AL;Alagoas;"Institutos Federais, Cefet's e Colégio Pedro II";IFAL;Instituto Federal de Alagoas;Discricionário;46490356,40;21228044,50;19469128,96;40532985,46;25262311,90;33691019,20
2024;Nordeste;AL;Alagoas;"Institutos Federais, Cefet's e Colégio Pedro II";IFAL;Instituto Federal de Alagoas;Emenda de Bancada;8060170,01;572756,12;538904,17;5749085,55;7487413,89;3539829,99
2024;Nordeste;AL;Alagoas;"Institutos Federais, Cefet's e Colégio Pedro II";IFAL;Instituto Federal de Alagoas;Emenda Individual;214998,00;;;264087,70;214998,00;785002,00
2024;Nordeste;AL;Alagoas;"Institutos Federais, Cefet's e Colégio Pedro II";IFAL;Instituto Federal de Alagoas;Financeiro;60304138,00;27819237,53;27819237,53;27819237,53;32484900,47;92851,00
2024;Nordeste;AL;Alagoas;"Institutos Federais, Cefet's e Colégio Pedro II";IFAL;Instituto Federal de Alagoas;Obrigatório;334853791,62;166218811,58;162236096,30;166613184,98;168634980,04;21434765,38
2024;Nordeste;AL;Alagoas;"Institutos Federais, Cefet's e Colégio Pedro II";IFAL;Instituto Federal de Alagoas;Recurso do PAC;7507895,83;950589,54;883720,15;950589,54;6557306,29;
2024;Nordeste;AL;Alagoas;Universidades Federais;UFAL - ETA;Escola Técnica de Artes da UFAL;Discricionário;8288498,32;4659098,23;4453357,11;5454752,19;3629400,09;186000,00
2024;Nordeste;AL;Alagoas;Universidades Federais;UFAL - ETA;Escola Técnica de Artes da UFAL;Emenda de Comissão;;;;117300,00;;
2024;Nordeste;BA;Bahia;"Institutos Federais, Cefet's e Colégio Pedro II";IF BAIANO;Instituto Federal Baiano;Discricionário;32573549,87;15762717,36;14178079,23;33841718,38;16810832,51;33158538,16
2024;Nordeste;BA;Bahia;"Institutos Federais, Cefet's e Colégio Pedro II";IF BAIANO;Instituto Federal Baiano;Emenda de Bancada;;;;2685975,11;;
2024;Nordeste;BA;Bahia;"Institutos Federais, Cefet's e Colégio Pedro II";IF BAIANO;Instituto Federal Baiano;Emenda Individual;;;;1009,52;;700000,00
2024;Nordeste;BA;Bahia;"Institutos Federais, Cefet's e Colégio Pedro II";IF BAIANO;Instituto Federal Baiano;Financeiro;42357632,56;23884766,62;23884766,62;23884766,62;18472865,94;9512044,44
2024;Nordeste;BA;Bahia;"Institutos Federais, Cefet's e Colégio Pedro II";IF BAIANO;Instituto Federal Baiano;Obrigatório;253522658,25;151240686,92;151227357,04;151663044,38;102281971,33;68882835,75
2024;Nordeste;BA;Bahia;"Institutos Federais, Cefet's e Colégio Pedro II";IF BAIANO;Instituto Federal Baiano;Recurso do PAC;9225903,92;;;;9225903,92;
2024;Nordeste;BA;Bahia;"Institutos Federais, Cefet's e Colégio Pedro II";IFBA;Instituto Federal da Bahia;Discricionário;71670921,51;28994742,78;23446600,44;45723438,64;42676178,73;21761436,81
