Ano;nomeUnidade;nomeUnidadeRecente;Sigla;Região;Estado;Tipo;siglaIES;Nome do Curso;nomeArea;gNP_CPC Contínuo;gNP_Enade;gNP_DocentesDoutores;gNP_DocentesMestres;gNP_IDD;gNP_Infraestrutura;gNP_OrgDidaticoPedagogica;gNP_OportunidadesAmpliacaoFormacao;gNP_RegimeTrabalho;gNB_DocentesDoutores;gNB_DocentesMestres;gNB_IDD;gNB_Infraestrutura;gNB_OrgDidaticoPedagogica;gNB_OportunidadesAmpliacaoFormacao;gNB_RegimeTrabalho;Cursos;Medida CPC
2016;Campus Januária;Campus Januária;IFNMG;Sudeste;Minas Gerais;Nota Padronizada;IFNMG;Agronomia;Agronomia;2,5;3,3;1,2;2;2,3;2,4;2;2,7;5;0,3;0,74;-1;4,6;5;4,6;1;1;2,56
2016;Campus Januária;Campus Januária;IFNMG;Sudeste;Minas Gerais;Nota Bruta;IFNMG;Agronomia;Agronomia;2,5;3,3;1,2;2;2,3;2,4;2;2,7;5;0,3;0,74;-1;4,6;5;4,6;1;1;2,56
2016;Campus Araquari;Campus Araquari;IFC;Sul;Santa Catarina;Nota Padronizada;IF Catarinense;Medicina Veterinária;Medicina Veterinária;3,1;3,4;2,6;3,8;2,7;2,2;2,5;3,3;5;0,6;0,92;0;4,5;4,8;4,8;1;1;3,14
2016;Campus Araquari;Campus Araquari;IFC;Sul;Santa Catarina;Nota Bruta;IF Catarinense;Medicina Veterinária;Medicina Veterinária;3,1;3,4;2,6;3,8;2,7;2,2;2,5;3,3;5;0,6;0,92;0;4,5;4,8;4,8;1;1;3,14
2017;Campus Jataí;Campus Jataí;IFG;Centro-Oeste;Goiás;Nota Padronizada;IFG;Engenharia Elétrica;Engenharia Elétrica;2,2;2;1,4;2,6;2,2;2,4;1,6;2,4;5;0,25;0,78;-1;4,6;4,2;4;1;1;2,28
2017;Campus Jataí;Campus Jataí;IFG;Centro-Oeste;Goiás;Nota Bruta;IFG;Engenharia Elétrica;Engenharia Elétrica;2,2;2;1,4;2,6;2,2;2,4;1,6;2,4;5;0,25;0,78;-1;4,6;4,2;4;1;1;2,28
2017;Campus Jataí;Campus Jataí;IFG;Centro-Oeste;Goiás;Nota Padronizada;IFG;Engenharia Civil;Engenharia Civil;3,1;3,1;1,6;3,6;2,9;4;3,7;4,2;5;0,3;0,84;0,5;5,4;5,4;5,4;1;1;3,15
2017;Campus Jataí;Campus Jataí;IFG;Centro-Oeste;Goiás;Nota Bruta;IFG;Engenharia Civil;Engenharia Civil;3,1;3,1;1,6;3,6;2,9;4;3,7;4,2;5;0,3;0,84;0,5;5,4;5,4;5,4;1;1;3,15
2016;Campus João Pessoa;Campus João Pessoa;IFPB;Nordeste;Paraíba;Nota Padronizada;IFPB;Gestão Ambiental;Tecnologia em Gestão Ambiental;3;3,4;1,8;4,4;3;1,6;2;3;5;0,35;0,92;1;4,3;4,8;4,4;1;1;3,06
2016;Campus João Pessoa;Campus João Pessoa;IFPB;Nordeste;Paraíba;Nota Bruta;IFPB;Gestão Ambiental;Tecnologia em Gestão Ambiental;3;3,4;1,8;4,4;3;1,6;2;3;5;0,35;0,92;1;4,3;4,8;4,4;1;1;3,06
