Ano;Sigla;Região;Estado;Sigla da IES;g_IGC (Faixa);IGC (Contínuo);g_Cursos com CPC no triênio;g_Conceito Médio de Graduação;g_Conceito Médio de Mestrado;g_Conceito Médio do Doutorado;g_Alfa;g_Beta;g_Gama;Número de instituições (IGC);Medida IGC
2020;IFPE;Nordeste;Pernambuco;IFPE;3;2,66;10;2,5;4;0;0,95;0;0;1;3
2021;IFPE;Nordeste;Pernambuco;IFPE;3;2,66;10;2,5;4;0;0,95;0;0;1;3
2022;IFPE;Nordeste;Pernambuco;IFPE;3;2,66;10;2,5;4;0;0,95;0;0;1;3
2023;IFPE;Nordeste;Pernambuco;IFPE;3;2,66;10;2,5;4;0;0,95;0;0;1;3
2024;IFPE;Nordeste;Pernambuco;IFPE;3;2,66;10;2,5;4;0;0,95;0;0;1;3
2013;IFSP;Sudeste;São Paulo;IFSP;4;3,09;50;3;4,1;0;0,95;0;0;1;4
2014;IFSP;Sudeste;São Paulo;IFSP;4;3,09;50;3;4,1;0;0,95;0;0;1;4
2015;IFSP;Sudeste;São Paulo;IFSP;4;3,09;50;3;4,1;0;0,95;0;0;1;4
2016;IFSP;Sudeste;São Paulo;IFSP;4;3,09;50;3;4,1;0;0,95;0;0;1;4
2017;IFSP;Sudeste;São Paulo;IFSP;4;3,09;50;3;4,1;0;0,95;0;0;1;4
2018;IFSP;Sudeste;São Paulo;IFSP;4;3,09;50;3;4,1;0;0,95;0;0;1;4
2019;IFSP;Sudeste;São Paulo;IFSP;4;3,09;50;3;4,1;0;0,95;0;0;1;4
2020;IFSP;Sudeste;São Paulo;IFSP;4;3,09;50;3;4,1;0;0,95;0;0;1;4
2021;IFSP;Sudeste;São Paulo;IFSP;4;3,09;50;3;4,1;0;0,95;0;0;1;4
2022;IFSP;Sudeste;São Paulo;IFSP;4;3,09;50;3;4,1;0;0,95;0;0;1;4
2023;IFSP;Sudeste;São Paulo;IFSP;4;3,09;50;3;4,1;0;0,95;0;0;1;4
2024;IFSP;Sudeste;São Paulo;IFSP;4;3,09;50;3;4,1;0;0,95;0;0;1;4
2013;IFG;Centro-Oeste;Goiás;IFG;3;2,89;30;2,75;4,2;0;0,95;0;0;1;3
2014;IFG;Centro-Oeste;Goiás;IFG;3;2,89;30;2,75;4,2;0;0,95;0;0;1;3
2015;IFG;Centro-Oeste;Goiás;IFG;3;2,89;30;2,75;4,2;0;0,95;0;0;1;3
2016;IFG;Centro-Oeste;Goiás;IFG;3;2,89;30;2,75;4,2;0;0,95;0;0;1;3
2017;IFG;Centro-Oeste;Goiás;IFG;3;2,89;30;2,75;4,2;0;0,95;0;0;1;3
2018;IFG;Centro-Oeste;Goiás;IFG;3;2,89;30;2,75;4,2;0;0,95;0;0;1;3
2019;IFG;Centro-Oeste;Goiás;IFG;3;2,89;30;2,75;4,2;0;0,95;0;0;1;3
2020;IFG;Centro-Oeste;Goiás;IFG;3;2,89;30;2,75;4,2;0;0,95;0;0;1;3
2021;IFG;Centro-Oeste;Goiás;IFG;3;2,89;30;2,75;4,2;0;0,95;0;0;1;3
2022;IFG;Centro-Oeste;Goiás;IFG;3;2,89;30;2,75;4,2;0;0,95;0;0;1;3
2023;IFG;Centro-Oeste;Goiás;IFG;3;2,89;30;2,75;4,2;0;0,95;0;0;1;3
2024;IFG;Centro-Oeste;Goiás;IFG;3;2,89;30;2,75;4,2;0;0,95;0;0;1;3
2013;IFAM;Norte;Amazonas;IFAM;3;2,84;10;2,5;4,2;0;0,85;0,1;0;1;3
2014;IFAM;Norte;Amazonas;IFAM;3;2,84;10;2,5;4,2;0;0,85;0,1;0;1;3
2015;IFAM;Norte;Amazonas;IFAM;3;2,84;10;2,5;4,2;0;0,85;0,1;0;1;3
2016;IFAM;Norte;Amazonas;IFAM;3;2,84;10;2,5;4,2;0;0,85;0,1;0;1;3
2017;IFAM;Norte;Amazonas;IFAM;3;2,84;10;2,5;4,2;0;0,85;0,1;0;1;3
2018;IFAM;Norte;Amazonas;IFAM;3;2,84;10;2,5;4,2;0;0,85;0,1;0;1;3
2019;IFAM;Norte;Amazonas;IFAM;3;2,84;10;2,5;4,2;0;0,85;0,1;0;1;3
2020;IFAM;Norte;Amazonas;IFAM;3;2,84;10;2,5;4,2;0;0,85;0,1;0;1;3
2021;IFAM;Norte;Amazonas;IFAM;3;2,84;10;2,5;4,2;0;0,85;0,1;0;1;3
2022;IFAM;Norte;Amazonas;IFAM;3;2,84;10;2,5;4,2;0;0,85;0,1;0;1;3
2023;IFAM;Norte;Amazonas;IFAM;3;2,84;10;2,5;4,2;0;0,85;0,1;0;1;3
2024;IFAM;Norte;Amazonas;IFAM;3;2,84;10;2,5;4,2;0;0,85;0,1;0;1;3
2013;IFPA;Norte;Pará;IFPA;3;2,86;10;2,5;4,3;0;0,85;0,1;0;1;3
2014;IFPA;Norte;Pará;IFPA;3;2,86;10;2,5;4,3;0;0,85;0,1;0;1;3
2015;IFPA;Norte;Pará;IFPA;3;2,86;10;2,5;4,3;0;0,85;0,1;0;1;3
2016;IFPA;Norte;Pará;IFPA;3;2,86;10;2,5;4,3;0;0,85;0,1;0;1;3
2017;IFPA;Norte;Pará;IFPA;3;2,86;10;2,5;4,3;0;0,85;0,1;0;1;3
2018;IFPA;Norte;Pará;IFPA;3;2,86;10;2,5;4,3;0;0,85;0,1;0;1;3
2019;IFPA;Norte;Pará;IFPA;3;2,86;10;2,5;4,3;0;0,85;0,1;0;1;3
2020;IFPA;Norte;Pará;IFPA;3;2,86;10;2,5;4,3;0;0,85;0,1;0;1;3
2021;IFPA;Norte;Pará;IFPA;3;2,86;10;2,5;4,3;0;0,85;0,1;0;1;3
2022;IFPA;Norte;Pará;IFPA;3;2,86;10;2,5;4,3;0;0,85;0,1;0;1;3
2023;IFPA;Norte;Pará;IFPA;3;2,86;10;2,5;4,3;0;0,85;0,1;0;1;3
2024;IFPA;Norte;Pará;IFPA;3;2,86;10;2,5;4,3;0;0,85;0,1;0;1;3
2013;IFPI;Nordeste;Piauí;IFPI;3;2,5;20;2,25;4,2;0;0,9;0,05;0;1;3
2014;IFPI;Nordeste;Piauí;IFPI;3;2,5;20;2,25;4,2;0;0,9;0,05;0;1;3
2015;IFPI;Nordeste;Piauí;IFPI;3;2,5;20;2,25;4,2;0;0,9;0,05;0;1;3
2016;IFPI;Nordeste;Piauí;IFPI;3;2,5;20;2,25;4,2;0;0,9;0,05;0;1;3
2017;IFPI;Nordeste;Piauí;IFPI;3;2,5;20;2,25;4,2;0;0,9;0,05;0;1;3
2018;IFPI;Nordeste;Piauí;IFPI;3;2,5;20;2,25;4,2;0;0,9;0,05;0;1;3
2019;IFPI;Nordeste;Piauí;IFPI;3;2,5;20;2,25;4,2;0;0,9;0,05;0;1;3
2020;IFPI;Nordeste;Piauí;IFPI;3;2,5;20;2,25;4,2;0;0,9;0,05;0;1;3
2021;IFPI;Nordeste;Piauí;IFPI;3;2,5;20;2,25;4,2;0;0,9;0,05;0;1;3
2022;IFPI;Nordeste;Piauí;IFPI;3;2,5;20;2,25;4,2;0;0,9;0,05;0;1;3
2023;IFPI;Nordeste;Piauí;IFPI;3;2,5;20;2,25;4,2;0;0,9;0,05;0;1;3
2024;IFPI;Nordeste;Piauí;IFPI;3;2,5;20;2,25;4,2;0;0,9;0,05;0;1;3
2013;UFCG;Nordeste;Paraíba;UFCG;4;3,34;60;2,75;4,2;4,5;0,75;0,1;0,1;1;4
2014;UFCG;Nordeste;Paraíba;UFCG;4;3,34;60;2,75;4,2;4,5;0,75;0,1;0,1;1;4
2015;UFCG;Nordeste;Paraíba;UFCG;4;3,34;60;2,75;4,2;4,5;0,75;0,1;0,1;1;4
2016;UFCG;Nordeste;Paraíba;UFCG;4;3,34;60;2,75;4,2;4,5;0,75;0,1;0,1;1;4
2017;UFCG;Nordeste;Paraíba;UFCG;4;3,34;60;2,75;4,2;4,5;0,75;0,1;0,1;1;4
2018;UFCG;Nordeste;Paraíba;UFCG;4;3,34;60;2,75;4,2;4,5;0,75;0,1;0,1;1;4
2019;UFCG;Nordeste;Paraíba;UFCG;4;3,34;60;2,75;4,2;4,5;0,75;0,1;0,1;1;4
2020;UFCG;Nordeste;Paraíba;UFCG;4;3,34;60;2,75;4,2;4,5;0,75;0,1;0,1;1;4
2021;UFCG;Nordeste;Paraíba;UFCG;4;3,34;60;2,75;4,2;4,5;0,75;0,1;0,1;1;4
2022;UFCG;Nordeste;Paraíba;UFCG;4;3,34;60;2,75;4,2;4,5;0,75;0,1;0,1;1;4
2023;UFCG;Nordeste;Paraíba;UFCG;4;3,34;60;2,75;4,2;4,5;0,75;0,1;0,1;1;4
2024;UFCG;Nordeste;Paraíba;UFCG;4;3,34;60;2,75;4,2;4,5;0,75;0,1;0,1;1;4
2013;IFAL;Nordeste;Alagoas;IFAL;3;2,4;10;2,25;4;0;0,95;0;0;1;3
2014;IFAL;Nordeste;Alagoas;IFAL;3;2,4;10;2,25;4;0;0,95;0;0;1;3
2015;IFAL;Nordeste;Alagoas;IFAL;3;2,4;10;2,25;4;0;0,95;0;0;1;3
2016;IFAL;Nordeste;Alagoas;IFAL;3;2,4;10;2,25;4;0;0,95;0;0;1;3
2017;IFAL;Nordeste;Alagoas;IFAL;3;2,4;10;2,25;4;0;0,95;0;0;1;3
2018;IFAL;Nordeste;Alagoas;IFAL;3;2,4;10;2,25;4;0;0,95;0;0;1;3
2019;IFAL;Nordeste;Alagoas;IFAL;3;2,4;10;2,25;4;0;0,95;0;0;1;3
2020;IFAL;Nordeste;Alagoas;IFAL;3;2,4;10;2,25;4;0;0,95;0;0;1;3
2021;IFAL;Nordeste;Alagoas;IFAL;3;2,4;10;2,25;4;0;0,95;0;0;1;3
2022;IFAL;Nordeste;Alagoas;IFAL;3;2,4;10;2,25;4;0;0,95;0;0;1;3
2023;IFAL;Nordeste;Alagoas;IFAL;3;2,4;10;2,25;4;0;0,95;0;0;1;3
2024;IFAL;Nordeste;Alagoas;IFAL;3;2,4;10;2,25;4;0;0,95;0;0;1;3
2013;IFSERTAO-PE;Nordeste;Pernambuco;IF Sertão;3;2,49;0;2,25;4;0;0,95;0;0;1;3
2014;IFSERTAO-PE;Nordeste;Pernambuco;IF Sertão;3;2,49;0;2,25;4;0;0,95;0;0;1;3
2015;IFSERTAO-PE;Nordeste;Pernambuco;IF Sertão;3;2,49;0;2,25;4;0;0,95;0;0;1;3
2016;IFSERTAO-PE;Nordeste;Pernambuco;IF Sertão;3;2,49;0;2,25;4;0;0,95;0;0;1;3
2017;IFSERTAO-PE;Nordeste;Pernambuco;IF Sertão;3;2,49;0;2,25;4;0;0,95;0;0;1;3
2018;IFSERTAO-PE;Nordeste;Pernambuco;IF Sertão;3;2,49;0;2,25;4;0;0,95;0;0;1;3
2019;IFSERTAO-PE;Nordeste;Pernambuco;IF Sertão;3;2,49;0;2,25;4;0;0,95;0;0;1;3
2020;IFSERTAO-PE;Nordeste;Pernambuco;IF Sertão;3;2,49;0;2,25;4;0;0,95;0;0;1;3
2021;IFSERTAO-PE;Nordeste;Pernambuco;IF Sertão;3;2,49;0;2,25;4;0;0,95;0;0;1;3
2022;IFSERTAO-PE;Nordeste;Pernambuco;IF Sertão;3;2,49;0;2,25;4;0;0,95;0;0;1;3
2023;IFSERTAO-PE;Nordeste;Pernambuco;IF Sertão;3;2,49;0;2,25;4;0;0,95;0;0;1;3
2024;IFSERTAO-PE;Nordeste;Pernambuco;IF Sertão;3;2,49;0;2,25;4;0;0,95;0;0;1;3
2013;IFSC;Sul;Santa Catarina;IFSC;4;3,35;10;3,25;4;0;0,95;0;0;1;4
2014;IFSC;Sul;Santa Catarina;IFSC;4;3,35;10;3,25;4;0;0,95;0;0;1;4
2015;IFSC;Sul;Santa Catarina;IFSC;4;3,35;10;3,25;4;0;0,95;0;0;1;4
2016;IFSC;Sul;Santa Catarina;IFSC;4;3,35;10;3,25;4;0;0,95;0;0;1;4
2017;IFSC;Sul;Santa Catarina;IFSC;4;3,35;10;3,25;4;0;0,95;0;0;1;4
2018;IFSC;Sul;Santa Catarina;IFSC;4;3,35;10;3,25;4;0;0,95;0;0;1;4
2019;IFSC;Sul;Santa Catarina;IFSC;4;3,35;10;3,25;4;0;0,95;0;0;1;4
2020;IFSC;Sul;Santa Catarina;IFSC;4;3,35;10;3,25;4;0;0,95;0;0;1;4
2021;IFSC;Sul;Santa Catarina;IFSC;4;3,35;10;3,25;4;0;0,95;0;0;1;4
2022;IFSC;Sul;Santa Catarina;IFSC;4;3,35;10;3,25;4;0;0,95;0;0;1;4
2023;IFSC;Sul;Santa Catarina;IFSC;4;3,35;10;3,25;4;0;0,95;0;0;1;4
2024;IFSC;Sul;Santa Catarina;IFSC;4;3,35;10;3,25;4;0;0,95;0;0;1;4
2013;IFRJ;Sudeste;Rio de Janeiro;IFRJ;4;3,11;10;2,75;4,3;4,75;0,9;0,05;0;1;4
2014;IFRJ;Sudeste;Rio de Janeiro;IFRJ;4;3,11;10;2,75;4,3;4,75;0,9;0,05;0;1;4
2015;IFRJ;Sudeste;Rio de Janeiro;IFRJ;4;3,11;10;2,75;4,3;4,75;0,9;0,05;0;1;4
2016;IFRJ;Sudeste;Rio de Janeiro;IFRJ;4;3,11;10;2,75;4,3;4,75;0,9;0,05;0;1;4
2017;IFRJ;Sudeste;Rio de Janeiro;IFRJ;4;3,11;10;2,75;4,3;4,75;0,9;0,05;0;1;4
2018;IFRJ;Sudeste;Rio de Janeiro;IFRJ;4;3,11;10;2,75;4,3;4,75;0,9;0,05;0;1;4
2019;IFRJ;Sudeste;Rio de Janeiro;IFRJ;4;3,11;10;2,75;4,3;4,75;0,9;0,05;0;1;4
2020;IFRJ;Sudeste;Rio de Janeiro;IFRJ;4;3,11;10;2,75;4,3;4,75;0,9;0,05;0;1;4
2021;IFRJ;Sudeste;Rio de Janeiro;IFRJ;4;3,11;10;2,75;4,3;4,75;0,9;0,05;0;1;4
2022;IFRJ;Sudeste;Rio de Janeiro;IFRJ;4;3,11;10;2,75;4,3;4,75;0,9;0,05;0;1;4
2023;IFRJ;Sudeste;Rio de Janeiro;IFRJ;4;3,11;10;2,75;4,3;4,75;0,9;0,05;0;1;4
2024;IFRJ;Sudeste;Rio de Janeiro;IFRJ;4;3,11;10;2,75;4,3;4,75;0,9;0,05;0;1;4
2013;IFMT;Centro-Oeste;Mato Grosso;IFMT;3;2,43;20;2,25;4;0;0,95;0;0;1;3
2014;IFMT;Centro-Oeste;Mato Grosso;IFMT;3;2,43;20;2,25;4;0;0,95;0;0;1;3
2015;IFMT;Centro-Oeste;Mato Grosso;IFMT;3;2,43;20;2,25;4;0;0,95;0;0;1;3
2016;IFMT;Centro-Oeste;Mato Grosso;IFMT;3;2,43;20;2,25;4;0;0,95;0;0;1;3
2017;IFMT;Centro-Oeste;Mato Grosso;IFMT;3;2,43;20;2,25;4;0;0,95;0;0;1;3
2018;IFMT;Centro-Oeste;Mato Grosso;IFMT;3;2,43;20;2,25;4;0;0,95;0;0;1;3
2019;IFMT;Centro-Oeste;Mato Grosso;IFMT;3;2,43;20;2,25;4;0;0,95;0;0;1;3
2020;IFMT;Centro-Oeste;Mato Grosso;IFMT;3;2,43;20;2,25;4;0;0,95;0;0;1;3
2021;IFMT;Centro-Oeste;Mato Grosso;IFMT;3;2,43;20;2,25;4;0;0,95;0;0;1;3
2022;IFMT;Centro-Oeste;Mato Grosso;IFMT;3;2,43;20;2,25;4;0;0,95;0;0;1;3
2023;IFMT;Centro-Oeste;Mato Grosso;IFMT;3;2,43;20;2,25;4;0;0,95;0;0;1;3
2024;IFMT;Centro-Oeste;Mato Grosso;IFMT;3;2,43;20;2,25;4;0;0,95;0;0;1;3
2013;IFTM;Sudeste;Minas Gerais;IFTM;3;2,7;10;2,5;4;0;0,9;0,05;0;1;3
2014;IFTM;Sudeste;Minas Gerais;IFTM;3;2,7;10;2,5;4;0;0,9;0,05;0;1;3
2015;IFTM;Sudeste;Minas Gerais;IFTM;3;2,7;10;2,5;4;0;0,9;0,05;0;1;3
2016;IFTM;Sudeste;Minas Gerais;IFTM;3;2,7;10;2,5;4;0;0,9;0,05;0;1;3
2017;IFTM;Sudeste;Minas Gerais;IFTM;3;2,7;10;2,5;4;0;0,9;0,05;0;1;3
2018;IFTM;Sudeste;Minas Gerais;IFTM;3;2,7;10;2,5;4;0;0,9;0,05;0;1;3
2019;IFTM;Sudeste;Minas Gerais;IFTM;3;2,7;10;2,5;4;0;0,9;0,05;0;1;3
2020;IFTM;Sudeste;Minas Gerais;IFTM;3;2,7;10;2,5;4;0;0,9;0,05;0;1;3
2021;IFTM;Sudeste;Minas Gerais;IFTM;3;2,7;10;2,5;4;0;0,9;0,05;0;1;3
2022;IFTM;Sudeste;Minas Gerais;IFTM;3;2,7;10;2,5;4;0;0,9;0,05;0;1;3
2023;IFTM;Sudeste;Minas Gerais;IFTM;3;2,7;10;2,5;4;0;0,9;0,05;0;1;3
2024;IFTM;Sudeste;Minas Gerais;IFTM;3;2,7;10;2,5;4;0;0,9;0,05;0;1;3
2013;IFS;Nordeste;Sergipe;IFS;3;2,85;0;2,75;4;0;0,9;0,05;0;1;3
2014;IFS;Nordeste;Sergipe;IFS;3;2,85;0;2,75;4;0;0,9;0,05;0;1;3
2015;IFS;Nordeste;Sergipe;IFS;3;2,85;0;2,75;4;0;0,9;0,05;0;1;3
2016;IFS;Nordeste;Sergipe;IFS;3;2,85;0;2,75;4;0;0,9;0,05;0;1;3
2017;IFS;Nordeste;Sergipe;IFS;3;2,85;0;2,75;4;0;0,9;0,05;0;1;3
2018;IFS;Nordeste;Sergipe;IFS;3;2,85;0;2,75;4;0;0,9;0,05;0;1;3
2019;IFS;Nordeste;Sergipe;IFS;3;2,85;0;2,75;4;0;0,9;0,05;0;1;3
2020;IFS;Nordeste;Sergipe;IFS;3;2,85;0;2,75;4;0;0,9;0,05;0;1;3
2021;IFS;Nordeste;Sergipe;IFS;3;2,85;0;2,75;4;0;0,9;0,05;0;1;3
2022;IFS;Nordeste;Sergipe;IFS;3;2,85;0;2,75;4;0;0,9;0,05;0;1;3
2023;IFS;Nordeste;Sergipe;IFS;3;2,85;0;2,75;4;0;0,9;0,05;0;1;3
2024;IFS;Nordeste;Sergipe;IFS;3;2,85;0;2,75;4;0;0,9;0,05;0;1;3
2013;IFRR;Norte;Roraima;IFRR;3;2,25;0;2;4;0;0,95;0;0;1;3
2014;IFRR;Norte;Roraima;IFRR;3;2,25;0;2;4;0;0,95;0;0;1;3
2015;IFRR;Norte;Roraima;IFRR;3;2,25;0;2;4;0;0,95;0;0;1;3
2016;IFRR;Norte;Roraima;IFRR;3;2,25;0;2;4;0;0,95;0;0;1;3
2017;IFRR;Norte;Roraima;IFRR;3;2,25;0;2;4;0;0,95;0;0;1;3
2018;IFRR;Norte;Roraima;IFRR;3;2,25;0;2;4;0;0,95;0;0;1;3
2019;IFRR;Norte;Roraima;IFRR;3;2,25;0;2;4;0;0,95;0;0;1;3
2020;IFRR;Norte;Roraima;IFRR;3;2,25;0;2;4;0;0,95;0;0;1;3
2021;IFRR;Norte;Roraima;IFRR;3;2,25;0;2;4;0;0,95;0;0;1;3
2022;IFRR;Norte;Roraima;IFRR;3;2,25;0;2;4;0;0,95;0;0;1;3
2023;IFRR;Norte;Roraima;IFRR;3;2,25;0;2;4;0;0,95;0;0;1;3
2024;IFRR;Norte;Roraima;IFRR;3;2,25;0;2;4;0;0,95;0;0;1;3
2013;IFNMG;Sudeste;Minas Gerais;IFNMG;3;2,73;20;2,5;4;0;0,95;0;0;1;3
2014;IFNMG;Sudeste;Minas Gerais;IFNMG;3;2,73;20;2,5;4;0;0,95;0;0;1;3
2015;IFNMG;Sudeste;Minas Gerais;IFNMG;3;2,73;20;2,5;4;0;0,95;0;0;1;3
2016;IFNMG;Sudeste;Minas Gerais;IFNMG;3;2,73;20;2,5;4;0;0,95;0;0;1;3
2017;IFNMG;Sudeste;Minas Gerais;IFNMG;3;2,73;20;2,5;4;0;0,95;0;0;1;3
2018;IFNMG;Sudeste;Minas Gerais;IFNMG;3;2,73;20;2,5;4;0;0,95;0;0;1;3
2019;IFNMG;Sudeste;Minas Gerais;IFNMG;3;2,73;20;2,5;4;0;0,95;0;0;1;3
2020;IFNMG;Sudeste;Minas Gerais;IFNMG;3;2,73;20;2,5;4;0;0,95;0;0;1;3
2021;IFNMG;Sudeste;Minas Gerais;IFNMG;3;2,73;20;2,5;4;0;0,95;0;0;1;3
2022;IFNMG;Sudeste;Minas Gerais;IFNMG;3;2,73;20;2,5;4;0;0,95;0;0;1;3
2023;IFNMG;Sudeste;Minas Gerais;IFNMG;3;2,73;20;2,5;4;0;0,95;0;0;1;3
2024;IFNMG;Sudeste;Minas Gerais;IFNMG;3;2,73;20;2,5;4;0;0,95;0;0;1;3
2013;IFMG;Sudeste;Minas Gerais;IFMG;3;2,85;30;2,75;4;0;0,95;0;0;1;3
2014;IFMG;Sudeste;Minas Gerais;IFMG;3;2,85;30;2,75;4;0;0,95;0;0;1;3
2015;IFMG;Sudeste;Minas Gerais;IFMG;3;2,85;30;2,75;4;0;0,95;0;0;1;3
2016;IFMG;Sudeste;Minas Gerais;IFMG;3;2,85;30;2,75;4;0;0,95;0;0;1;3
2017;IFMG;Sudeste;Minas Gerais;IFMG;3;2,85;30;2,75;4;0;0,95;0;0;1;3
2018;IFMG;Sudeste;Minas Gerais;IFMG;3;2,85;30;2,75;4;0;0,95;0;0;1;3
2019;IFMG;Sudeste;Minas Gerais;IFMG;3;2,85;30;2,75;4;0;0,95;0;0;1;3
2020;IFMG;Sudeste;Minas Gerais;IFMG;3;2,85;30;2,75;4;0;0,95;0;0;1;3
2021;IFMG;Sudeste;Minas Gerais;IFMG;3;2,85;30;2,75;4;0;0,95;0;0;1;3
2022;IFMG;Sudeste;Minas Gerais;IFMG;3;2,85;30;2,75;4;0;0,95;0;0;1;3
2023;IFMG;Sudeste;Minas Gerais;IFMG;3;2,85;30;2,75;4;0;0,95;0;0;1;3
2024;IFMG;Sudeste;Minas Gerais;IFMG;3;2,85;30;2,75;4;0;0,95;0;0;1;3
2013;IFSUDESTEMG;Sudeste;Minas Gerais;IFSEMG;3;2,84;20;2,75;4;0;0,95;0;0;1;3
2014;IFSUDESTEMG;Sudeste;Minas Gerais;IFSEMG;3;2,84;20;2,75;4;0;0,95;0;0;1;3
2015;IFSUDESTEMG;Sudeste;Minas Gerais;IFSEMG;3;2,84;20;2,75;4;0;0,95;0;0;1;3
2016;IFSUDESTEMG;Sudeste;Minas Gerais;IFSEMG;3;2,84;20;2,75;4;0;0,95;0;0;1;3
2017;IFSUDESTEMG;Sudeste;Minas Gerais;IFSEMG;3;2,84;20;2,75;4;0;0,95;0;0;1;3
2018;IFSUDESTEMG;Sudeste;Minas Gerais;IFSEMG;3;2,84;20;2,75;4;0;0,95;0;0;1;3
2019;IFSUDESTEMG;Sudeste;Minas Gerais;IFSEMG;3;2,84;20;2,75;4;0;0,95;0;0;1;3
2020;IFSUDESTEMG;Sudeste;Minas Gerais;IFSEMG;3;2,84;20;2,75;4;0;0,95;0;0;1;3
2021;IFSUDESTEMG;Sudeste;Minas Gerais;IFSEMG;3;2,84;20;2,75;4;0;0,95;0;0;1;3
2022;IFSUDESTEMG;Sudeste;Minas Gerais;IFSEMG;3;2,84;20;2,75;4;0;0,95;0;0;1;3
2023;IFSUDESTEMG;Sudeste;Minas Gerais;IFSEMG;3;2,84;20;2,75;4;0;0,95;0;0;1;3
2024;IFSUDESTEMG;Sudeste;Minas Gerais;IFSEMG;3;2,84;20;2,75;4;0;0,95;0;0;1;3
2013;UFT;Norte;Tocantins;UFT;4;3,02;50;2,75;4,1;4,5;0,8;0,1;0;1;4
2014;UFT;Norte;Tocantins;UFT;4;3,02;50;2,75;4,1;4,5;0,8;0,1;0;1;4
2015;UFT;Norte;Tocantins;UFT;4;3,02;50;2,75;4,1;4,5;0,8;0,1;0;1;4
2016;UFT;Norte;Tocantins;UFT;4;3,02;50;2,75;4,1;4,5;0,8;0,1;0;1;4
2017;UFT;Norte;Tocantins;UFT;4;3,02;50;2,75;4,1;4,5;0,8;0,1;0;1;4
2018;UFT;Norte;Tocantins;UFT;4;3,02;50;2,75;4,1;4,5;0,8;0,1;0;1;4
2019;UFT;Norte;Tocantins;UFT;4;3,02;50;2,75;4,1;4,5;0,8;0,1;0;1;4
2020;UFT;Norte;Tocantins;UFT;4;3,02;50;2,75;4,1;4,5;0,8;0,1;0;1;4
2021;UFT;Norte;Tocantins;UFT;4;3,02;50;2,75;4,1;4,5;0,8;0,1;0;1;4
2022;UFT;Norte;Tocantins;UFT;4;3,02;50;2,75;4,1;4,5;0,8;0,1;0;1;4
2023;UFT;Norte;Tocantins;UFT;4;3,02;50;2,75;4,1;4,5;0,8;0,1;0;1;4
2024;UFT;Norte;Tocantins;UFT;4;3,02;50;2,75;4,1;4,5;0,8;0,1;0;1;4
2013;UNIVASF;Nordeste;Pernambuco;UNIVASF;4;3,32;20;3;4,2;4,5;0,8;0,15;0;1;4
2014;UNIVASF;Nordeste;Pernambuco;UNIVASF;4;3,32;20;3;4,2;4,5;0,8;0,15;0;1;4
2015;UNIVASF;Nordeste;Pernambuco;UNIVASF;4;3,32;20;3;4,2;4,5;0,8;0,15;0;1;4
2016;UNIVASF;Nordeste;Pernambuco;UNIVASF;4;3,32;20;3;4,2;4,5;0,8;0,15;0;1;4
2017;UNIVASF;Nordeste;Pernambuco;UNIVASF;4;3,32;20;3;4,2;4,5;0,8;0,15;0;1;4
2018;UNIVASF;Nordeste;Pernambuco;UNIVASF;4;3,32;20;3;4,2;4,5;0,8;0,15;0;1;4
2019;UNIVASF;Nordeste;Pernambuco;UNIVASF;4;3,32;20;3;4,2;4,5;0,8;0,15;0;1;4
2020;UNIVASF;Nordeste;Pernambuco;UNIVASF;4;3,32;20;3;4,2;4,5;0,8;0,15;0;1;4
2021;UNIVASF;Nordeste;Pernambuco;UNIVASF;4;3,32;20;3;4,2;4,5;0,8;0,15;0;1;4
2022;UNIVASF;Nordeste;Pernambuco;UNIVASF;4;3,32;20;3;4,2;4,5;0,8;0,15;0;1;4
2023;UNIVASF;Nordeste;Pernambuco;UNIVASF;4;3,32;20;3;4,2;4,5;0,8;0,15;0;1;4
2024;UNIVASF;Nordeste;Pernambuco;UNIVASF;4;3,32;20;3;4,2;4,5;0,8;0,15;0;1;4
2013;IF FARROUPILHA;Sul;Rio Grande do Sul;IFFarroupilha;4;3,13;20;3;4;0;0,95;0;0;1;4
2014;IF FARROUPILHA;Sul;Rio Grande do Sul;IFFarroupilha;4;3,13;20;3;4;0;0,95;0;0;1;4
2015;IF FARROUPILHA;Sul;Rio Grande do Sul;IFFarroupilha;4;3,13;20;3;4;0;0,95;0;0;1;4
2016;IF FARROUPILHA;Sul;Rio Grande do Sul;IFFarroupilha;4;3,13;20;3;4;0;0,95;0;0;1;4
2017;IF FARROUPILHA;Sul;Rio Grande do Sul;IFFarroupilha;4;3,13;20;3;4;0;0,95;0;0;1;4
2018;IF FARROUPILHA;Sul;Rio Grande do Sul;IFFarroupilha;4;3,13;20;3;4;0;0,95;0;0;1;4
2019;IF FARROUPILHA;Sul;Rio Grande do Sul;IFFarroupilha;4;3,13;20;3;4;0;0,95;0;0;1;4
2020;IF FARROUPILHA;Sul;Rio Grande do Sul;IFFarroupilha;4;3,13;20;3;4;0;0,95;0;0;1;4
2021;IF FARROUPILHA;Sul;Rio Grande do Sul;IFFarroupilha;4;3,13;20;3;4;0;0,95;0;0;1;4
2022;IF FARROUPILHA;Sul;Rio Grande do Sul;IFFarroupilha;4;3,13;20;3;4;0;0,95;0;0;1;4
